COUNTRY,Region,Population,Area sq. mi.,Pop. Density
TAIWAN,ASIA (EX. NEAR EAST)         ,23036087,35980,640.25
TAJIKISTAN,C.W. OF IND. STATES ,7320815,143100,51.16
TANZANIA,SUB-SAHARAN AFRICA                 ,37445392,945087,39.62
THAILAND,ASIA (EX. NEAR EAST)         ,64631595,514000,125.74
TOGO,SUB-SAHARAN AFRICA                 ,5548702,56785,97.71
TONGA,OCEANIA                            ,114689,748,153.33
TRINIDAD & TOBAGO,LATIN AMER. & CARIB    ,1065842,5128,207.85
TUNISIA,NORTHERN AFRICA                    ,10175014,163610,62.19
TURKEY,NEAR EAST                          ,70413958,780580,90.21
TURKMENISTAN,C.W. OF IND. STATES ,5042920,488100,10.33
TURKS & CAICOS IS,LATIN AMER. & CARIB    ,21152,430,49.19
TUVALU,OCEANIA                            ,11810,26,454.23
UGANDA,SUB-SAHARAN AFRICA                 ,28195754,236040,119.45
UKRAINE,C.W. OF IND. STATES ,46710816,603700,77.37
UNITED ARAB EMIRATES,NEAR EAST                          ,2602713,82880,31.4
UNITED KINGDOM,WESTERN EUROPE                     ,60609153,244820,247.57
UNITED STATES,NORTHERN AMERICA                   ,298444215,9631420,30.99
URUGUAY,LATIN AMER. & CARIB    ,3431932,176220,19.48
UZBEKISTAN,C.W. OF IND. STATES ,27307134,447400,61.04
VANUATU,OCEANIA                            ,208869,12200,17.12
VENEZUELA,LATIN AMER. & CARIB    ,25730435,912050,28.21
VIET NAM,ASIA (EX. NEAR EAST)         ,84402966,329560,256.11
VIRGIN ISLANDS,LATIN AMER. & CARIB    ,108605,1910,56.86
WALLIS AND FUTUNA,OCEANIA                            ,16025,274,58.49
WEST BANK,NEAR EAST                          ,2460492,5860,419.88
WESTERN SAHARA,NORTHERN AFRICA                    ,273008,266000,1.03
YEMEN,NEAR EAST                          ,21456188,527970,40.64
ZAMBIA,SUB-SAHARAN AFRICA                 ,11502010,752614,15.28
ZIMBABWE,SUB-SAHARAN AFRICA                 ,12236805,390580,31.33
